"Country or Area Code","Country or Area","Year","Value"
"AFG","Afghanistan","2008","7898909"
"AFG","Afghanistan","2007","4668096"
"AFG","Afghanistan","2006","2520366"
"AFG","Afghanistan","2005","1200000"
"AFG","Afghanistan","2004","600000"
"AFG","Afghanistan","2003","200000"
"AFG","Afghanistan","2002","25000"
"AFG","Afghanistan","2001","0"
"AFG","Afghanistan","2000","0"
"AFG","Afghanistan","1999","0"
"AFG","Afghanistan","1998","0"
"AFG","Afghanistan","1997","0"
"AFG","Afghanistan","1996","0"
"AFG","Afghanistan","1995","0"
"AFG","Afghanistan","1994","0"
"AFG","Afghanistan","1993","0"
"AFG","Afghanistan","1992","0"
"AFG","Afghanistan","1991","0"
"AFG","Afghanistan","1990","0"
"AFG","Afghanistan","1989","0"
"AFG","Afghanistan","1988","0"
"AFG","Afghanistan","1987","0"
"AFG","Afghanistan","1986","0"
"AFG","Afghanistan","1985","0"
"AFG","Afghanistan","1984","0"
"AFG","Afghanistan","1983","0"
"AFG","Afghanistan","1982","0"
"AFG","Afghanistan","1981","0"
"AFG","Afghanistan","1980","0"
"AFG","Afghanistan","1979","0"
"AFG","Afghanistan","1978","0"
"AFG","Afghanistan","1977","0"
"AFG","Afghanistan","1976","0"
"AFG","Afghanistan","1975","0"
"AFG","Afghanistan","1970","0"
"AFG","Afghanistan","1965","0"
"AFG","Afghanistan","1960","0"
"ALB","Albania","2008","3141187"
"ALB","Albania","2007","2300000"
"ALB","Albania","2006","1900000"
"ALB","Albania","2005","1530244"
"ALB","Albania","2004","1259590"
"ALB","Albania","2003","1100000"
"ALB","Albania","2002","851000"
"ALB","Albania","2001","392650"
"ALB","Albania","2000","29791"
"ALB","Albania","1999","11008"
"ALB","Albania","1998","5600"
"ALB","Albania","1997","3300"
"ALB","Albania","1996","2300"
"ALB","Albania","1995","0"
"ALB","Albania","1994","0"
"ALB","Albania","1993","0"
"ALB","Albania","1992","0"
"ALB","Albania","1991","0"
"ALB","Albania","1990","0"
"ALB","Albania","1989","0"
"ALB","Albania","1988","0"
"ALB","Albania","1987","0"
"ALB","Albania","1986","0"
"ALB","Albania","1985","0"
"ALB","Albania","1984","0"
"ALB","Albania","1983","0"
"ALB","Albania","1982","0"
"ALB","Albania","1981","0"
"ALB","Albania","1980","0"
"ALB","Albania","1979","0"
"ALB","Albania","1978","0"
"ALB","Albania","1977","0"
"ALB","Albania","1976","0"
"ALB","Albania","1975","0"
"ALB","Albania","1970","0"
"ALB","Albania","1965","0"
"ALB","Albania","1960","0"
"DZA","Algeria","2007","2.756272E+07"
"DZA","Algeria","2006","2.099795E+07"
"DZA","Algeria","2005","1.366136E+07"
"DZA","Algeria","2004","4882414"
"DZA","Algeria","2003","1446927"
"DZA","Algeria","2002","450244"
"DZA","Algeria","2001","100000"
"DZA","Algeria","2000","86000"
"DZA","Algeria","1999","72000"
"DZA","Algeria","1998","18000"
"DZA","Algeria","1997","17400"
"DZA","Algeria","1996","11700"
"DZA","Algeria","1995","4691"
"DZA","Algeria","1994","1348"
"DZA","Algeria","1993","4781"
"DZA","Algeria","1992","4781"
"DZA","Algeria","1991","4781"
"DZA","Algeria","1990","470"
"DZA","Algeria","1989","0"
"DZA","Algeria","1988","0"
"DZA","Algeria","1987","0"
"DZA","Algeria","1986","0"
"DZA","Algeria","1985","0"
"DZA","Algeria","1984","0"
"DZA","Algeria","1983","0"
"DZA","Algeria","1982","0"
"DZA","Algeria","1981","0"
"DZA","Algeria","1980","0"
"DZA","Algeria","1979","0"
"DZA","Algeria","1978","0"
"DZA","Algeria","1977","0"
"DZA","Algeria","1976","0"
"DZA","Algeria","1975","0"
"DZA","Algeria","1970","0"
"DZA","Algeria","1965","0"
"DZA","Algeria","1960","0"
"ASM","American Samoa","2004","2250"
"ASM","American Samoa","2003","2100"
"ASM","American Samoa","2002","2036"
"ASM","American Samoa","2001","2156"
"ASM","American Samoa","2000","1992"
"ASM","American Samoa","1999","1800"
"ASM","American Samoa","1998","1500"
"ASM","American Samoa","1997","1400"
"ASM","American Samoa","1996","1300"
"ASM","American Samoa","1995","1250"
"ASM","American Samoa","1994","1200"
"ASM","American Samoa","1993","900"
"ASM","American Samoa","1992","700"
"ASM","American Samoa","1991","0"
"ASM","American Samoa","1990","0"
"ASM","American Samoa","1986","0"
"ASM","American Samoa","1985","0"
"ASM","American Samoa","1984","0"
"ASM","American Samoa","1983","0"
"ASM","American Samoa","1982","0"
"ASM","American Samoa","1981","0"
"ASM","American Samoa","1980","0"
"ASM","American Samoa","1979","0"
"ASM","American Samoa","1978","0"
"ASM","American Samoa","1977","0"
"ASM","American Samoa","1976","0"
"ASM","American Samoa","1975","0"
"ASM","American Samoa","1970","0"
"ASM","American Samoa","1965","0"
"ASM","American Samoa","1960","0"
"AND","Andorra","2008","64202"
"AND","Andorra","2007","68483"
"AND","Andorra","2006","69004"
"AND","Andorra","2005","64560"
"AND","Andorra","2004","58366"
"AND","Andorra","2003","51893"
"AND","Andorra","2002","32790"
"AND","Andorra","2001","29429"
"AND","Andorra","2000","23543"
"AND","Andorra","1999","20600"
"AND","Andorra","1998","14117"
"AND","Andorra","1997","8618"
"AND","Andorra","1996","5488"
"AND","Andorra","1995","2825"
"AND","Andorra","1994","784"
"AND","Andorra","1993","780"
"AND","Andorra","1992","770"
"AND","Andorra","1991","0"
"AND","Andorra","1990","0"
"AND","Andorra","1989","0"
"AND","Andorra","1988","0"
"AND","Andorra","1987","0"
"AND","Andorra","1986","0"
"AND","Andorra","1985","0"
"AND","Andorra","1984","0"
"AND","Andorra","1983","0"
"AND","Andorra","1982","0"
"AND","Andorra","1981","0"
"AND","Andorra","1980","0"
"AND","Andorra","1979","0"
"AND","Andorra","1978","0"
"AND","Andorra","1977","0"
"AND","Andorra","1976","0"
"AND","Andorra","1975","0"
"AND","Andorra","1970","0"
"AND","Andorra","1965","0"
"AND","Andorra","1960","0"
"AGO","Angola","2008","6773356"
"AGO","Angola","2007","4961536"
"AGO","Angola","2006","3054620"
"AGO","Angola","2005","1611118"
"AGO","Angola","2004","740000"
"AGO","Angola","2003","350000"
"AGO","Angola","2002","140000"
"AGO","Angola","2001","75000"
"AGO","Angola","2000","25806"
"AGO","Angola","1999","24000"
"AGO","Angola","1998","9820"
"AGO","Angola","1997","7052"
"AGO","Angola","1996","3298"
"AGO","Angola","1995","1994"
"AGO","Angola","1994","1824"
"AGO","Angola","1993","1100"
"AGO","Angola","1992","0"
"AGO","Angola","1991","0"
"AGO","Angola","1990","0"
"AGO","Angola","1989","0"
"AGO","Angola","1988","0"
"AGO","Angola","1987","0"
"AGO","Angola","1986","0"
"AGO","Angola","1985","0"
"AGO","Angola","1984","0"
"AGO","Angola","1983","0"
"AGO","Angola","1982","0"
"AGO","Angola","1981","0"
"AGO","Angola","1980","0"
"AGO","Angola","1979","0"
"AGO","Angola","1978","0"
"AGO","Angola","1977","0"
"AGO","Angola","1976","0"
"AGO","Angola","1975","0"
"AGO","Angola","1970","0"
"AGO","Angola","1965","0"
"AGO","Angola","1960","0"
"ATG","Antigua and Barbuda","2008","136592"
"ATG","Antigua and Barbuda","2007","112381"
"ATG","Antigua and Barbuda","2006","110177"
"ATG","Antigua and Barbuda","2005","86000"
"ATG","Antigua and Barbuda","2004","54000"
"ATG","Antigua and Barbuda","2003","46100"
"ATG","Antigua and Barbuda","2002","38205"
"ATG","Antigua and Barbuda","2001","25000"
"ATG","Antigua and Barbuda","2000","22000"
"ATG","Antigua and Barbuda","1999","8500"
"ATG","Antigua and Barbuda","1998","1500"
"ATG","Antigua and Barbuda","1997","1400"
"ATG","Antigua and Barbuda","1996","1300"
"ATG","Antigua and Barbuda","1990","0"
"ATG","Antigua and Barbuda","1988","0"
"ATG","Antigua and Barbuda","1987","0"
"ATG","Antigua and Barbuda","1986","0"
"ATG","Antigua and Barbuda","1985","0"
"ATG","Antigua and Barbuda","1984","0"
"ATG","Antigua and Barbuda","1983","0"
"ATG","Antigua and Barbuda","1982","0"
"ATG","Antigua and Barbuda","1981","0"
"ATG","Antigua and Barbuda","1980","0"
"ATG","Antigua and Barbuda","1979","0"
"ATG","Antigua and Barbuda","1978","0"
"ATG","Antigua and Barbuda","1977","0"
"ATG","Antigua and Barbuda","1976","0"
"ATG","Antigua and Barbuda","1975","0"
"ATG","Antigua and Barbuda","1970","0"
"ATG","Antigua and Barbuda","1965","0"
"ATG","Antigua and Barbuda","1960","0"
"ARG","Argentina","2008","4.650878E+07"
"ARG","Argentina","2007","4.040177E+07"
"ARG","Argentina","2006","3.151039E+07"
"ARG","Argentina","2005","2.215643E+07"
"ARG","Argentina","2004","1.351238E+07"
"ARG","Argentina","2003","7842233"
"ARG","Argentina","2002","6566740"
"ARG","Argentina","2001","6741791"
"ARG","Argentina","2000","6487950"
"ARG","Argentina","1999","3848869"
"ARG","Argentina","1998","2670862"
"ARG","Argentina","1997","2009073"
"ARG","Argentina","1996","667020"
"ARG","Argentina","1995","405395"
"ARG","Argentina","1994","241163"
"ARG","Argentina","1993","112000"
"ARG","Argentina","1992","46590"
"ARG","Argentina","1991","25000"
"ARG","Argentina","1990","12000"
"ARG","Argentina","1989","2300"
"ARG","Argentina","1988","0"
"ARG","Argentina","1987","0"
"ARG","Argentina","1986","0"
"ARG","Argentina","1985","0"
"ARG","Argentina","1984","0"
"ARG","Argentina","1983","0"
"ARG","Argentina","1982","0"
"ARG","Argentina","1981","0"
"ARG","Argentina","1980","0"
"ARG","Argentina","1979","0"
"ARG","Argentina","1978","0"
"ARG","Argentina","1977","0"
"ARG","Argentina","1976","0"
"ARG","Argentina","1975","0"
