"Country or Area Code","Country or Area","Year","Value"
"AFG","Afghanistan","2008","7898909"
"ALB","Albania","2008","3141187"
"AND","Andorra","2008","64202"
"AGO","Angola","2008","6773356"
"ATG","Antigua and Barbuda","2008","136592"
"ARG","Argentina","2008","4.650878E+07"
"ABW","Aruba","2008","127066"
"AUS","Australia","2008","2.212E+07"
"AUT","Austria","2008","1.0816E+07"
"AZE","Azerbaijan","2008","6548000"
"BHS","Bahamas","2008","358050"
"BHR","Bahrain","2008","1400000"
"BGD","Bangladesh","2008","4.464E+07"
"BEL","Belgium","2008","1.182219E+07"
"BLZ","Belize","2008","160032"
"BEN","Benin","2008","3435000"
"BTN","Bhutan","2008","251000"
"BOL","Bolivia","2008","4830000"
"BIH","Bosnia and Herzegovina","2008","3179036"
"BWA","Botswana","2008","1485791"
"BRA","Brazil","2008","1.506414E+08"
"BGR","Bulgaria","2008","1.063327E+07"
"BFA","Burkina Faso","2008","2553000"
"BDI","Burundi","2008","480584"
"KHM","Cambodia","2008","4237000"
"CMR","Cameroon","2008","6160893"
"CAN","Canada","2008","2.145519E+07"
"CPV","Cape Verde","2008","277670"
"CAF","Central African Rep.","2008","154000"
"TCD","Chad","2008","1809000"
"CHL","Chile","2008","1.479659E+07"
"CHN","China","2008","6.34E+08"
"COL","Colombia","2008","4.136475E+07"
"COG","Congo","2008","1807000"
"ZAR","Congo (Democratic Republic of the)","2008","9262853"
"CRI","Costa Rica","2008","1886570"
"CIV","Cote d'Ivoire","2008","1.044904E+07"
"HRV","Croatia","2008","5924000"
"CUB","Cuba","2008","331736"
"CYP","Cyprus","2008","1016739"
"CZE","Czech Republic","2008","1.378017E+07"
"DNK","Denmark","2008","6550718"
"DOM","Dominican Rep.","2008","7210483"
"ECU","Ecuador","2008","1.159508E+07"
"EGY","Egypt","2008","4.127247E+07"
"SLV","El Salvador","2008","6950703"
"GNQ","Equatorial Guinea","2008","346000"
"ERI","Eritrea","2008","108631"
"EST","Estonia","2008","2524465"
"ETH","Ethiopia","2008","3168271"
"FRO","Faroe Islands","2008","54860"
"FIN","Finland","2008","6830000"
"FRA","France","2008","5.7972E+07"
"PYF","French Polynesia","2008","187146"
"GAB","Gabon","2008","1300000"
"GMB","Gambia","2008","1166136"
"DEU","Germany","2008","1.07245E+08"
"GHA","Ghana","2008","1.157043E+07"
"GRC","Greece","2008","1.379934E+07"
"GRD","Grenada","2008","60022"
"GTM","Guatemala","2008","1.494864E+07"
"GIN","Guinea","2008","2600000"
"GNB","Guinea-Bissau","2008","500156"
"HTI","Haiti","2008","3200000"
"HND","Honduras","2008","6210711"
"HKG","Hong Kong, China","2008","1.137422E+07"
"HUN","Hungary","2008","1.222416E+07"
